id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
772632559852407944,“The Loft” Gastown,118262494,Ricardo,,Downtown Eastside,49.28192,-123.10258,Entire home/apt,315,90,2,2024-12-15,0.70,2,365,2,18284727
772789813130088267,Exquisitely Stunning Quiet Home close to Skytrain,279317920,Louis,,Renfrew-Collingwood,49.25168,-123.0508,Entire home/apt,454,7,7,2024-08-25,0.26,2,25,2,25-156819
773394111661423741,Vancouver Getaway! Mount Pleasant Gem,51634,Amanda,,Riley Park,49.25514207538108,-123.09946220622943,Entire home/apt,145,2,16,2025-02-15,1.24,1,136,14,23-307656
773503395507984171,"3 Bedroom, 2 Bath Spacious suite in Vancouver!",490031768,Shi Yin,,Victoria-Fraserview,49.23019,-123.05503,Entire home/apt,139,1,94,2025-02-16,3.52,1,101,35,25-157248
773986152579469677,Private 4-bedroom house with two FREE parking,476148951,Vincent,,Kensington-Cedar Cottage,49.2454134,-123.0685798,Entire home/apt,250,1,54,2025-01-25,2.02,1,295,26,25-157070
774014779684964119,Lovely renovated room with separate entrance.,74610927,Monica,,Kitsilano,49.27029,-123.17846,Entire home/apt,146,3,53,2024-12-08,1.99,1,54,23,25-158131
774077690501416084,Free Parkin/Nespresso/4 Bed/Sleep 6/City & Mt View,314341438,Chao,,Mount Pleasant,49.26904,-123.10117,Entire home/apt,55,2,194,2025-02-15,7.12,3,114,80,24-174774
774295928860048545,Your modern 2br home in the heart of Chinatown!,14975567,Brittany,,Downtown Eastside,49.28057,-123.10079,Private room,149,90,4,2024-11-10,0.19,1,266,2,
774643226338339331,Private Room in Downtown Vancouver by Rogers Arena,41212701,Ahmed,,Downtown,49.2801668,-123.1079339,Private room,86,1,106,2025-02-27,3.90,2,19,33,25-158549
774742091795229302,"Airy Japandi, Modern, AC, Parking, Netflix",477321736,Emily,,Mount Pleasant,49.26918262894002,-123.10237257652,Entire home/apt,130,90,113,2024-12-31,4.58,1,178,48,24-159263
